Counter Name,Phone,Location,City
Mohipal Counter (To Chittagong),01973-259644,Mohipal Bus Stand,Feni
Lalpul Counter,01973-259645,"Lalpul-Feni, Chattogram Road",Feni
Koska Counter,01973-259611,"Koska-Feni, Chattogram Road",Feni
Muhurigonj Counter,01973-259648,"Muhurigonj-Feni, Chattogram Road",Feni
Vatiyari Counter,01973-259684,Vatiyari Point,Chittagong
AK Khan Counter,01973-259535,AK Khan Circle,Chittagong
Alonkhar Counter,01973-259685,Alonkhar Bus Stand,Chittagong
Boropol Counter,01973-259680,Boropol,Chittagong
